rung,seed,model_sha256,mean_eval_return,success_rate,planner_candidate_transition_count,oracle_candidate_transition_count
prefix_1_target_no_penalty,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,0.2653621259229473,1.0,129024,10752
prefix_2_target_no_penalty,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,-0.3587371006692285,0.0,129024,21504
prefix_4_target_no_penalty,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,0.5322049361656933,0.0,129024,43008
prefix_8_target_no_penalty,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,2.110989379984586,1.0,129024,86016
prefix_1_target_no_penalty,3,f2f418a430cb8bc4edef17166aae1c006f5353311c50c092e5560f678a61c228,0.23250523658102462,0.0,129024,10752
prefix_2_target_no_penalty,3,f2f418a430cb8bc4edef17166aae1c006f5353311c50c092e5560f678a61c228,3.036721843076138,0.75,129024,21504
prefix_4_target_no_penalty,3,f2f418a430cb8bc4edef17166aae1c006f5353311c50c092e5560f678a61c228,3.730819020643015,1.0,129024,43008
prefix_8_target_no_penalty,3,f2f418a430cb8bc4edef17166aae1c006f5353311c50c092e5560f678a61c228,3.8057449371061187,1.0,129024,86016
prefix_1_target_no_penalty,4,c2c794f90ce642b1903c82dc7761df23e5b7bef2d54104a2d1e3f99d003efc53,0.257859409323864,0.75,129024,10752
prefix_2_target_no_penalty,4,c2c794f90ce642b1903c82dc7761df23e5b7bef2d54104a2d1e3f99d003efc53,2.1082429252752664,1.0,129024,21504
prefix_4_target_no_penalty,4,c2c794f90ce642b1903c82dc7761df23e5b7bef2d54104a2d1e3f99d003efc53,3.2741268712597593,1.0,129024,43008
prefix_8_target_no_penalty,4,c2c794f90ce642b1903c82dc7761df23e5b7bef2d54104a2d1e3f99d003efc53,4.941746293310494,1.0,129024,86016
prefix_1_target_no_penalty,5,cd330704b1306b71e416625c2ef37bc2ea2532df3eeecfb2cf3ac43cfbf0e90c,1.345098124902775,0.75,129024,10752
prefix_2_target_no_penalty,5,cd330704b1306b71e416625c2ef37bc2ea2532df3eeecfb2cf3ac43cfbf0e90c,2.4675681253342674,0.5,129024,21504
prefix_4_target_no_penalty,5,cd330704b1306b71e416625c2ef37bc2ea2532df3eeecfb2cf3ac43cfbf0e90c,3.1088020794575155,0.5,129024,43008
prefix_8_target_no_penalty,5,cd330704b1306b71e416625c2ef37bc2ea2532df3eeecfb2cf3ac43cfbf0e90c,2.8328744562253894,0.75,129024,86016
prefix_1_target_no_penalty,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,0.08401791548553794,1.0,129024,10752
prefix_2_target_no_penalty,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,-1.854180732573743,0.0,129024,21504
prefix_4_target_no_penalty,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,-0.23103622442244742,0.0,129024,43008
prefix_8_target_no_penalty,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,3.1807272775941735,1.0,129024,86016
prefix_1_target_no_penalty,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,2.885701278648125,1.0,129024,10752
prefix_2_target_no_penalty,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,4.174781114160198,1.0,129024,21504
prefix_4_target_no_penalty,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,2.5440863625304373,1.0,129024,43008
prefix_8_target_no_penalty,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,3.411908462520783,1.0,129024,86016
